instrument,ts,price,source
AAPL,2024-01-15 09:00:00,189.50,yahoo
AAPL,2024-01-15 16:00:00,191.25,yahoo
AAPL,2024-01-16 16:00:00,192.80,yahoo
AAPL,2024-01-22 16:00:00,194.50,yahoo
MSFT,2024-01-15 09:00:00,405.00,yahoo
MSFT,2024-01-15 16:00:00,410.50,yahoo
MSFT,2024-01-16 16:00:00,415.25,yahoo
MSFT,2024-01-22 16:00:00,418.00,yahoo
NVDA,2024-01-15 09:00:00,750.00,yahoo
NVDA,2024-01-15 16:00:00,765.00,yahoo
NVDA,2024-01-16 16:00:00,780.50,yahoo
NVDA,2024-01-22 16:00:00,795.00,yahoo
SPY,2024-01-15 09:00:00,470.00,yahoo
SPY,2024-01-15 16:00:00,471.50,yahoo
SPY,2024-01-16 16:00:00,473.25,yahoo
SPY,2024-01-22 16:00:00,475.00,yahoo
BTC-USD,2024-01-15 09:00:00,64500.00,coinbase
BTC-USD,2024-01-15 16:00:00,65200.00,coinbase
BTC-USD,2024-01-16 16:00:00,66500.00,coinbase
BTC-USD,2024-01-22 16:00:00,68000.00,coinbase
SOL-USD,2024-01-15 09:00:00,101.50,coinbase
SOL-USD,2024-01-15 16:00:00,104.75,coinbase
SOL-USD,2024-01-16 16:00:00,108.50,coinbase
SOL-USD,2024-01-22 16:00:00,115.25,coinbase
ARB-USD,2024-01-15 09:00:00,1.82,coinbase
ARB-USD,2024-01-15 16:00:00,1.87,coinbase
ARB-USD,2024-01-16 16:00:00,1.92,coinbase
ARB-USD,2024-01-22 16:00:00,2.05,coinbase